

*******************************************************************************
Ephemeris / WWW_USER Tue Apr 28 15:00:56 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: James Webb Space Telescope (spacecraft) (-170) {source: JWST_merged}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2021-Dec-25 13:01:09.1840 TDB
Stop  time      : A.D. 2022-May-21 00:00:00.0000 TDB
Step-size       : 15 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459574.823717407, A.D. 2021-Dec-26 07:46:09.1840, -1.265525884980077E+07,  1.473642655301356E+08, -5.797672759610415E+04, -3.029172080353633E+01, -7.038942753346342E-01, -7.341507156453166E-01,
2459574.834134074, A.D. 2021-Dec-26 08:01:09.1840, -1.268252189170686E+07,  1.473636255241347E+08, -5.863566495247185E+04, -3.029280931619790E+01, -7.183160563508392E-01, -7.301659903207142E-01,
2459574.844550741, A.D. 2021-Dec-26 08:16:09.1840, -1.270978589341412E+07,  1.473629726059586E+08, -5.929104670944065E+04, -3.029385397358991E+01, -7.325887458182512E-01, -7.262490383504019E-01,
2459574.854967407, A.D. 2021-Dec-26 08:31:09.1840, -1.273705081619221E+07,  1.473623069077988E+08, -5.994293294377625E+04, -3.029485640491593E+01, -7.467167370827876E-01, -7.223978311743956E-01,
2459574.865384074, A.D. 2021-Dec-26 08:46:09.1840, -1.276431662274038E+07,  1.473616285579754E+08, -6.059138194500655E+04, -3.029581815875649E+01, -7.607042403030198E-01, -7.186104258249442E-01,
2459574.875800741, A.D. 2021-Dec-26 09:01:09.1840, -1.279158327711721E+07,  1.473609376810989E+08, -6.123645029116422E+04, -3.029674070798580E+01, -7.745552922596365E-01, -7.148849602952698E-01,
2459574.886217407, A.D. 2021-Dec-26 09:16:09.1840, -1.281885074467446E+07,  1.473602343982203E+08, -6.187819291888922E+04, -3.029762545433024E+01, -7.882737655165848E-01, -7.112196492171461E-01,
2459574.896634074, A.D. 2021-Dec-26 09:31:09.1840, -1.284611899199511E+07,  1.473595188269770E+08, -6.251666319133341E+04, -3.029847373260330E+01, -8.018633770051216E-01, -7.076127798134577E-01,
2459574.907050741, A.D. 2021-Dec-26 09:46:09.1840, -1.287338798683477E+07,  1.473587910817270E+08, -6.315191296099871E+04, -3.029928681463854E+01, -8.153276960514519E-01, -7.040627081153726E-01,
2459574.917467407, A.D. 2021-Dec-26 10:01:09.1840, -1.290065769806681E+07,  1.473580512736806E+08, -6.378399263082445E+04, -3.030006591295420E+01, -8.286701519098225E-01, -7.005678554149604E-01,
2459574.927884074, A.D. 2021-Dec-26 10:16:09.1840, -1.292792809563038E+07,  1.473572995110213E+08, -6.441295121065527E+04, -3.030081218415722E+01, -8.418940408223181E-01, -6.971267049424493E-01,
2459574.938300741, A.D. 2021-Dec-26 10:31:09.1840, -1.295519915048172E+07,  1.473565358990240E+08, -6.503883637229353E+04, -3.030152673212332E+01, -8.550025326519124E-01, -6.937377987464939E-01,
2459574.948717407, A.D. 2021-Dec-26 10:46:09.1840, -1.298247083454784E+07,  1.473557605401645E+08, -6.566169450040162E+04, -3.030221061095686E+01, -8.679986771054971E-01, -6.903997347687709E-01,
2459574.959134074, A.D. 2021-Dec-26 11:01:09.1840, -1.300974312068317E+07,  1.473549735342266E+08, -6.628157074224949E+04, -3.030286482775742E+01, -8.808854095910070E-01, -6.871111640922332E-01,
2459574.969550741, A.D. 2021-Dec-26 11:16:09.1840, -1.303701598262831E+07,  1.473541749784006E+08, -6.689850905369222E+04, -3.030349034520083E+01, -8.936655567223146E-01, -6.838707883563634E-01,
2459574.979967407, A.D. 2021-Dec-26 11:31:09.1840, -1.306428939497123E+07,  1.473533649673810E+08, -6.751255224417150E+04, -3.030408808395531E+01, -9.063418415064780E-01, -6.806773573228995E-01,
2459574.990384074, A.D. 2021-Dec-26 11:46:09.1840, -1.309156333311038E+07,  1.473525435934553E+08, -6.812374201846868E+04, -3.030465892493913E+01, -9.189168882262871E-01, -6.775296665858457E-01,
2459575.000800741, A.D. 2021-Dec-26 12:01:09.1840, -1.311883777322002E+07,  1.473517109465926E+08, -6.873211901745945E+04, -3.030520371143606E+01, -9.313932270409933E-01, -6.744265554146363E-01,
2459575.011217407, A.D. 2021-Dec-26 12:16:09.1840, -1.314611269221713E+07,  1.473508671145249E+08, -6.933772285595536E+04, -3.030572325107586E+01, -9.437732983328886E-01, -6.713669047177769E-01,
2459575.021634074, A.D. 2021-Dec-26 12:31:09.1840, -1.317338806773026E+07,  1.473500121828275E+08, -6.994059215991944E+04, -3.030621831769255E+01, -9.560594568045124E-01, -6.683496351242403E-01,
2459575.032050741, A.D. 2021-Dec-26 12:46:09.1840, -1.320066387806980E+07,  1.473491462349927E+08, -7.054076460074633E+04, -3.030668965306611E+01, -9.682539753501060E-01, -6.653737051714547E-01,
2459575.042467407, A.D. 2021-Dec-26 13:01:09.1840, -1.322794010220000E+07,  1.473482693525035E+08, -7.113827692925185E+04, -3.030713796856028E+01, -9.803590487093374E-01, -6.624381095958749E-01,
2459575.052884074, A.D. 2021-Dec-26 13:16:09.1840, -1.325521671971216E+07,  1.473473816149007E+08, -7.173316500686109E+04, -3.030756394665746E+01, -9.923767969277153E-01, -6.595418777152144E-01,
2459575.063300741, A.D. 2021-Dec-26 13:31:09.1840, -1.328249371079943E+07,  1.473464830998502E+08, -7.232546383674443E+04, -3.030796824240498E+01, -1.004309268632622E+00, -6.566840718972855E-01,
2459575.073717407, A.D. 2021-Dec-26 13:46:09.1840, -1.330977105623261E+07,  1.473455738832043E+08, -7.291520759210736E+04, -3.030835148477380E+01, -1.016158444126591E+00, -6.538637861152079E-01,
2459575.084134074, A.D. 2021-Dec-26 14:01:09.1840, -1.333704873733738E+07,  1.473446540390634E+08, -7.350242964486778E+04, -3.030871427793754E+01, -1.027926238322295E+00, -6.510801445768417E-01,
2459575.094550741, A.D. 2021-Dec-26 14:16:09.1840, -1.336432673597242E+07,  1.473437236398322E+08, -7.408716259144247E+04, -3.030905720247695E+01, -1.039614503522774E+00, -6.483323004275076E-01,
2459575.104967407, A.D. 2021-Dec-26 14:31:09.1840, -1.339160503450880E+07,  1.473427827562763E+08, -7.466943827901781E+04, -3.030938081651595E+01, -1.051225032060151E+00, -6.456194345190377E-01,
2459575.115384074, A.D. 2021-Dec-26 14:46:09.1840, -1.341888361581012E+07,  1.473418314575734E+08, -7.524928782922029E+04, -3.030968565679150E+01, -1.062759558787634E+00, -6.429407542476318E-01,
2459575.125800741, A.D. 2021-Dec-26 15:01:09.1840, -1.344616246321388E+07,  1.473408698113654E+08, -7.582674166216701E+04, -3.030997223966309E+01, -1.074219763472741E+00, -6.402954924390991E-01,
2459575.136217407, A.D. 2021-Dec-26 15:16:09.1840, -1.347344156051344E+07,  1.473398978838059E+08, -7.640182951829582E+04, -3.031024106206695E+01, -1.085607273026229E+00, -6.376829063097147E-01,
2459575.146634074, A.D. 2021-Dec-26 15:31:09.1840, -1.350072089194104E+07,  1.473389157396080E+08, -7.697458048044145E+04, -3.031049260241524E+01, -1.096923663668614E+00, -6.351022764581495E-01,
2459575.157050741, A.D. 2021-Dec-26 15:46:09.1840, -1.352800044215145E+07,  1.473379234420871E+08, -7.754502299378812E+04, -3.031072732144803E+01, -1.108170462947624E+00, -6.325529059259105E-01,
